z,y,x,force,emg,label
15220,6460,1976,1023,0,normal
15108,6288,2060,1023,0,normal
15132,6248,1916,1023,0,normal
15156,6380,1940,1023,0,normal
15160,6428,1816,1023,0,normal
15188,6312,1904,1023,0,normal
15052,6380,2000,1023,9,normal
15256,6288,1988,1023,0,normal
15076,6336,2008,1023,6,normal
15172,6332,1916,1023,0,normal
15188,6420,1964,1023,0,normal
15212,6500,1992,1023,0,normal
15020,6348,1940,1023,1,normal
15028,6324,1856,1023,0,normal
15232,6452,2092,1023,0,normal
15164,6432,1960,1023,0,normal
15220,6416,2056,1023,0,normal
15108,6328,1916,1023,0,normal
15132,6308,1908,1023,1,normal
15156,6284,1880,1023,0,normal
15160,6364,1964,1023,0,normal
15188,6380,1988,1023,0,normal
15052,6332,1992,1023,0,normal
15256,6448,1988,1023,0,normal
15076,6448,2004,1023,0,normal
15172,6344,1888,1023,0,normal
15180,6316,1848,1023,0,normal
15192,6252,2012,1023,0,normal
15152,6388,1964,1023,0,normal
15084,6300,2000,1023,0,normal
14960,6348,1924,1023,0,normal
15152,6300,1876,1023,0,normal
15144,6328,2020,1023,0,normal
15072,6372,1980,1023,0,normal
15120,6376,1936,1023,3,normal
15124,6348,1788,1023,0,normal
15208,6332,1896,1023,0,normal
15272,6356,1976,1023,0,normal
15080,6372,1936,1023,0,normal
15232,6336,1932,1023,0,normal
15136,6396,2000,1023,0,normal
15068,6412,2048,1023,0,normal
15124,6380,1932,1023,0,normal
15212,6348,2008,1023,1,normal
15216,6340,1868,1023,0,normal
15016,6348,1860,1023,7,normal
15164,6416,1940,1023,0,normal
15152,6308,1864,1023,0,normal
15176,6376,1952,1023,0,normal
14964,6252,2016,1023,0,normal
15092,6384,1936,1023,0,normal
15040,6300,1988,1023,0,normal
15080,6332,1968,1023,0,normal
15052,6392,2008,1023,0,normal
15196,6332,1956,1023,0,normal
15120,6308,1940,1023,7,normal
15268,6344,1972,1023,0,normal
15220,6356,2044,1023,0,normal
15148,6384,1980,1023,0,normal
15040,6424,1852,1023,0,normal
15104,6416,1992,1023,0,normal
15040,6336,1816,1023,0,normal
15012,6412,1924,1023,0,normal
15240,6284,1980,1023,0,normal
15208,6304,1972,1023,0,normal
15224,6316,1996,1023,0,normal
15088,6292,2012,1023,3,normal
15164,6328,1964,1023,5,normal
15232,6320,1992,1023,0,normal
15168,6372,1880,1023,15,normal
15120,6368,1960,1023,0,normal
15028,6504,1972,1023,0,normal
15168,6420,1936,1023,0,normal
15156,6400,1932,1023,0,normal
15048,6348,2048,1023,0,normal
